nombre,categoria,seccion,descripcion,dimensiones,imagen
ADO43,Adornos,Salón,Vitrina madera con barco de sal,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO43/ADO43-720x540.png
DPT43,Deporte,Bicicleta,Bicicleta de niña verde,135x15x70 (cm),https://atrezzovazquez.es/admin/img_prod/DPT43/DPT43-720x540.png
LAM43,Lámpara,Lámpara de mesa,Lámpara de mesa metal columna salomónica,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/LAM43/LAM43-720x540.png
FUM43,Artículos de fumador,Cenicero,Ceniceros cristal tallado cuadrados,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM43/FUM43-720X540.png
M43,Mesa,Centro,Mesa japonesa centro nogal,65x55x40 (cm),https://atrezzovazquez.es/admin/img_prod/M43/M43-1-720x540.png
BYC43,Atrezzo de bar y cafetería,Bar y cafetería,Vasos cristal whisky,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC43/BYC43(BAR43-720x540).png
COL43,Atrezzo colegio,Colegio,Regla de plástico,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL43/COL43-720x540.png
DES43,Atrezzo despacho,Despacho,Máquina de escribir portátil Andina con su caja,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES43/DES43-720x540.png
BA43,Baño,Lavabo,Lavabo 2 grifos con pie,56x44x65 (cm),https://atrezzovazquez.es/admin/img_prod/BA43/BA43-720x540.png
BEB43,Bebé,Curvado,Trona de bebé curvada asiento rejilla,45x50x95 (cm),https://atrezzovazquez.es/admin/img_prod/BEB43/BEB43-720x540.png
CST43,Moda y costura,Máquinas de coser,Máquina de coser SINGER con pie refrey,44x100x90 (cm),https://atrezzovazquez.es/admin/img_prod/CST43/CST43-720x540.png
CRI43,Cristalería,,Copas cristal grueso tallado (10 altas y 10 bajas),1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI43/CRI43-720x540.png
MC43,Macetero,Jardín,Macetón resina tallado figuras pintadas oro,30x30x73 (cm),https://atrezzovazquez.es/admin/img_prod/MC43/MC43-1-720x540.png
ME43,Mesilla,Dormitorio,Mesilla recta verde tapa mármol,43x35x71 (cm),https://atrezzovazquez.es/admin/img_prod/ME43/ME43-1-720x540.png
REL43,Reloj,Cocina,Reloj de pared redondo blanco,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL43/REL43-720x540.png
TEL43,Telefonía,,Teléfono antiguo de mesa verde de oficina,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL43/TLF43-720x540.png
MYN43,Maletas y neceseres de viaje,Viaje,Maleta lona azul con correas skay marrón,88x70x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN43/MYN43-720x540.png
JUG43,Juguetes,Juguete,Diávolos antiguos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG43/JUG43-720x540.png
JAR43,Jarrones y jarras,Adorno,Jarrón chino cobrizado dibujos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR43/JAR43-720x540.png
MYS43,Tocadiscos y altavoces,Electrónica,Aparatos de compact-disc,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS43/MYS43-720x540.png
ML43,Librería,Descatalogado,Descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ML43/LOGOTIPO VAZQUEZ- 720x540.png
MED43,Atrezzo medicina,Hospital,Frascos de medicinas pequeños antiguos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED43/MED43-720x540.png
HOS43,Hospitales,Hospital,Carro de hospital acero inoxidable,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/HOS43/HOS43-1-720x540.png
VAA43,Atrezzo vario,,Gorro de aviador antiguo lona  negro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA43/VAA43-720x540.png
RAD43,Radios,,Radio tocadiscos Philips,62x38x44 (cm),https://atrezzovazquez.es/admin/img_prod/RAD43/RAD43-720x540.png
SI43,Sillón,Salón,Sillón capitoné rollo tapizado tela clara,71x75x70 (cm),https://atrezzovazquez.es/admin/img_prod/SI43/SI43-1-720x540.png
MV43,Muebles varios,Descatalogado,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MV43/LOGOTIPO VAZQUEZ- 720x540.png
SIL43,Silla,Comedor,Silla Luis XVI nogal tapizada damasco gris,40x40x92 (cm),https://atrezzovazquez.es/admin/img_prod/SIL43/SIL43 (HAY 2) (mal estado) 720x540.png
S43,Sofá,Salón,Sofá rollo capitoné tapizado tela rayas,140x75x70 (cm),https://atrezzovazquez.es/admin/img_prod/S43/S43-1-720x540.png
TYV43,Televisores y vídeos,Televisor,"Televisión caja verde pistacho Electronic 24""",53x33x52 (cm),https://atrezzovazquez.es/admin/img_prod/TYV43/TYV43-720x540.png
PV43,Pie de vela,Candelabro,Candelabro bronce 3 luces,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PV43/PV43-720x540.png
TP43,Tapices y estandartes,Arabe,Tapiz bordado árabe pequeño,90x0x90 (cm),https://atrezzovazquez.es/admin/img_prod/TP43/TP43-720x540.png
PER43,Perchero,Despacho,Perchero de pie tubo azul y gris peana redonda,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/PER43/PER43-720x540.png
CDM43,Centro de mesa,,Centro de mesa de metal diferentes modelos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM43/CDM43-720x540.png
FIG43,Figuras,Adorno,Figura de resina mujer,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG43/FIG43-720x540.png
PLA43,Playa,Sombrillas,Sombrilla tela rayas amarillas y blancas,0x175x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA43/PLA43-720x540.png
REG43,Religión,Religioso,Escapulario,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/REG43/REG43-720x540.png
RU43,Rural,Arabe,Silla de montar árabe,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/RU43/RU43-720x540.png
ALF44,Alfombra,Arabe,Alfombra persa roja fondo claro,185x140x1 (cm),https://atrezzovazquez.es/admin/img_prod/ALF44/ALF44-720x540.png
AFC44,Alfombra de cama,Dormitorio,Alfombrin de cama fino gris,115x70x1 (cm),https://atrezzovazquez.es/admin/img_prod/AFC44/AFC44-720x540.png
AP44,Aparador,Comedor,Vitrina valenciana con estantes cristal,124x44x180 (cm),https://atrezzovazquez.es/admin/img_prod/AP44/AP44-1-720x540.png
AR44,Armario,,Armario pino 2 puertas con maletero,97x55x250 (cm),https://atrezzovazquez.es/admin/img_prod/AR44/AR44-1-720x540.png
BAC44,Banco,Rústico,Banco de cruceta de pino doble pata,135x27x50 (cm),https://atrezzovazquez.es/admin/img_prod/BAC44/BAC44-1-720x540.png
BAN44,Banqueta,Salón,Puf redondo tapizado crema,39x39x46 (cm),https://atrezzovazquez.es/admin/img_prod/BAN44/BAN44-720x540.png
BAU44,Baul,Almacenaje,Baúl tapa forma forrado piel cabra,60x30x36 (cm),https://atrezzovazquez.es/admin/img_prod/BAU44/BAU44-1-720x540.png
CA44,Cama,Dormitorio,Cama modernista nogal con talla madera,140x190x140 (cm),https://atrezzovazquez.es/admin/img_prod/CA44/CA44-720x540.png
CO44,Cocinas,Varios cocina,Cocina de carbón figurada piedra,142x53x88 (cm),https://atrezzovazquez.es/admin/img_prod/CO44/CO44-1-720x540.png
COM44,Comoda,Comodín,Comodín modernista caoba tapa mármol,90x50x82 (cm),https://atrezzovazquez.es/admin/img_prod/COM44/COM44-1-720x540.png
CON44,Consola,Italiano,Consola italiana madera clara,109x30x80 (cm),https://atrezzovazquez.es/admin/img_prod/CON44/CON44-1-720x540.png
CU44,Cuadro,Paisaje,Cuadro marco dorado tallado lámina pescador,131x10x133 (cm),https://atrezzovazquez.es/admin/img_prod/CU44/CU44-720x540.png
ANU44,Carteles y anuncios,Bar y cafetería,Carteles cartón grabados de bebidas,10x1x5 (cm),https://atrezzovazquez.es/admin/img_prod/ANU44/ANU44-720x540.png
ESP44,Espejo,Atrezzo baño,Espejo marco blanco con estante y apliques,70x35x70 (cm),https://atrezzovazquez.es/admin/img_prod/ESP44/ESP44 720x540.png
ES44,Estanteria,Cocina,Estante de pino recortado,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ES44/ES44-720x540.png
EST44,Estufa,Cubreradiador,Cubreradiador nogal con estantes,103x27x88 (cm),https://atrezzovazquez.es/admin/img_prod/EST44/EST44-720x540.png
ESTAT44,Estatua,Iglesia,Hornacina de nogal con Virgen,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT44/ESTAT44-1-720x540.png
F44,Fichero,Despacho,Cajonera mesa negra 1 cajón,43x60x34 (cm),https://atrezzovazquez.es/admin/img_prod/F44/F44-720x540.png
MUS44,Instrumentos musicales,Musica,Flauta madera antigua,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/MUS44/MUS44 (INM31)-720x540.png
ADO44,Adornos,Salón,Maqueta velero,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO44/ADO44-720x540.png
DPT44,Deporte,Bicicleta,Bicicleta de niño roja spiderman,105x50x70 (cm),https://atrezzovazquez.es/admin/img_prod/DPT44/DPT44-720x540.png
LAM44,Lámpara,Lámpara de mesa,Lámpara de mesa metal peana calada,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/LAM44/LAM44-720x540.png
